Analyzing near_basket...                                        

   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:39:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:41:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:47:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:48:13 - prefer_const_constructors
   info - Use 'const' literals as arguments to constructors of '@immutable' classes - lib\features\shop_dashboard\screens\analytics_screen.dart:49:25 - prefer_const_literals_to_create_immutables
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:50:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:51:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:58:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:59:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:60:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:69:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:70:13 - prefer_const_constructors
